review,rating,date,bank,source,vader_compound,vader_label
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play,0.6486,pos
Cbe,5,2025-10-27,CBE,Google Play,0.0,neu
Active and granted system,5,2025-10-27,CBE,Google Play,0.5719,pos
fast app,4,2025-10-27,CBE,Google Play,0.0,neu
cool 😎,5,2025-10-27,CBE,Google Play,0.6486,pos
Galaxy A10s,3,2025-10-26,CBE,Google Play,0.0,neu
the best apps,5,2025-10-26,CBE,Google Play,0.6369,pos
arif app new,5,2025-10-26,CBE,Google Play,0.0,neu
laga Bari biranch,5,2025-10-26,CBE,Google Play,0.0,neu
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play,0.0,neu
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play,0.6597,pos
Attractive,5,2025-10-25,CBE,Google Play,0.4404,pos
mite,5,2025-10-24,CBE,Google Play,0.0,neu
useful,5,2025-10-24,CBE,Google Play,0.4404,pos
"not good, not bad!",3,2025-10-23,CBE,Google Play,-0.6208,neg
very good,5,2025-10-23,CBE,Google Play,0.4927,pos
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play,0.0,neu
imp,5,2025-10-22,CBE,Google Play,0.0,neu
super fast app,5,2025-10-21,CBE,Google Play,0.5994,pos
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play,0.6896,pos
cbe,4,2025-10-18,CBE,Google Play,0.0,neu
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play,0.0,neu
blah blah blah,5,2025-10-18,CBE,Google Play,-0.296,neg
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play,-0.5423,neg
CBE no.1,5,2025-10-17,CBE,Google Play,0.0,neu
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play,0.0,neu
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play,0.9152,pos
gooof,5,2025-10-16,CBE,Google Play,0.0,neu
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play,-0.564,neg
Best app,5,2025-10-16,CBE,Google Play,0.6369,pos
still not perfect like before,1,2025-10-15,CBE,Google Play,-0.6259,neg
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play,-0.9287,neg
APPLIED,1,2025-10-14,CBE,Google Play,0.0,neu
10 years ago,4,2025-10-14,CBE,Google Play,0.0,neu
Asefa Obsa,5,2025-10-14,CBE,Google Play,0.0,neu
it's good app,5,2025-10-14,CBE,Google Play,0.4404,pos
very slow,1,2025-10-14,CBE,Google Play,0.0,neu
berhan deriba wami,4,2025-10-14,CBE,Google Play,0.0,neu
mahamad Usman,5,2025-10-13,CBE,Google Play,0.0,neu
Erako,5,2025-10-13,CBE,Google Play,0.0,neu
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play,-0.875,neg
opne,5,2025-10-13,CBE,Google Play,0.0,neu
mehommd nuri,5,2025-10-13,CBE,Google Play,0.0,neu
Best,5,2025-10-12,CBE,Google Play,0.6369,pos
providing very secure service.,5,2025-10-12,CBE,Google Play,0.4005,pos
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play,0.0,neu
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play,0.0,neu
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play,0.0,neu
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,Google Play,-0.296,neg
Mamma Husen,2,2025-10-11,CBE,Google Play,0.0,neu
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play,0.2263,pos
exceptional application from others bank,5,2025-10-10,CBE,Google Play,0.0,neu
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play,0.8124,pos
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play,0.9633,pos
really good app,5,2025-10-10,CBE,Google Play,0.4927,pos
smart bank CBE,5,2025-10-10,CBE,Google Play,0.4019,pos
Ali urgesa11,3,2025-10-09,CBE,Google Play,0.0,neu
it's good,5,2025-10-09,CBE,Google Play,0.4404,pos
Good apps,5,2025-10-09,CBE,Google Play,0.4404,pos
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play,0.0,neu
best app i ever seen,5,2025-10-09,CBE,Google Play,0.6369,pos
it's game changing in financial system,4,2025-10-09,CBE,Google Play,0.0,neu
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play,0.0,neu
will good updating,5,2025-10-09,CBE,Google Play,0.4404,pos
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play,-0.2411,neg
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play,0.0,neu
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play,0.7608,pos
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play,0.908,pos
user compatible app!,5,2025-10-08,CBE,Google Play,0.0,neu
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play,0.8891,pos
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play,0.8689,pos
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play,0.4926,pos
Asledin Ibsa,5,2025-10-06,CBE,Google Play,0.0,neu
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play,-0.4767,neg
my bank,5,2025-10-05,CBE,Google Play,0.0,neu
Data,5,2025-10-04,CBE,Google Play,0.0,neu
"lately I am facing a problem with the app ,and the problem is when log in and inter my pin it doesn't work at all and says 'can't sync' why does it say that I was working fine a few day ago and also it says when I enter my pin 'change your pin to 6 digit pin and it doesn't allow me to change it please solve what is the problem with the app ?",2,2025-10-04,CBE,Google Play,-0.5948,neg
excellent app with lots of features,5,2025-10-04,CBE,Google Play,0.5719,pos
very good 👍 mobile banking,5,2025-10-04,CBE,Google Play,0.4927,pos
so special,5,2025-10-04,CBE,Google Play,0.4576,pos
wiiy ewdihiliw esimirt niho yitnehew metgeyot ❤💞🤔😴🤩😍,1,2025-10-03,CBE,Google Play,0.91,pos
woow cbe,5,2025-10-03,CBE,Google Play,0.0,neu
cbe the best bank app,4,2025-10-03,CBE,Google Play,0.6369,pos
This App CBE bank it's Simple and Smart I Like it.,5,2025-10-03,CBE,Google Play,0.6369,pos
Rijalufaris,5,2025-10-02,CBE,Google Play,0.0,neu
its Best app But i hate the Repeatedly update request,5,2025-10-02,CBE,Google Play,-0.5346,neg
imoo,3,2025-10-02,CBE,Google Play,0.0,neu
"it was good since it become a robber the vat ,tax,service charge,unbelievable charge to send to other bank, monthly charge,etc i hope one international bank comes and we all leave this bank. enough is enough",1,2025-10-02,CBE,Google Play,0.25,pos
screen shoot always not allowed why?,5,2025-10-02,CBE,Google Play,-0.34,neg
enkorabetalen,5,2025-10-01,CBE,Google Play,0.0,neu
Gamada mahamadi,1,2025-10-01,CBE,Google Play,0.0,neu
it is very good banking web but its network is sometimes busy i hope they willfix the problem,4,2025-09-30,CBE,Google Play,0.3392,pos
verfcasencod,5,2025-09-30,CBE,Google Play,0.0,neu
you can't get your own transaction history,1,2025-09-29,CBE,Google Play,0.0,neu
sintu,5,2025-09-29,CBE,Google Play,0.0,neu
BEST,5,2025-09-28,CBE,Google Play,0.6369,pos
Bank of Ethiopia,5,2025-09-28,CBE,Google Play,0.0,neu
"All most Good, but need improvement",5,2025-09-27,CBE,Google Play,0.7267,pos
"Great application for me,So I would like to rate with Solid 5 star.That It works well overall. So hello everyone enjoy the apps",5,2025-09-27,CBE,Google Play,0.9147,pos
poor app all of you guys delete CBE and download BOA,1,2025-09-27,CBE,Google Play,-0.4767,neg
niceapp,5,2025-09-27,CBE,Google Play,0.0,neu
the best app of all,5,2025-09-25,CBE,Google Play,0.6369,pos
❤️,5,2025-09-25,CBE,Google Play,0.0,neu
"Most of the time when I try to open the app, it does not load. The circle keeps spinning as if it is trying to open, and get a message saying "" 2 attempts left for offline login"". This seems to mean that the app cannot connect to the internet, even though I have a stable internet connection, and all other stuff work properly.",2,2025-09-24,CBE,Google Play,0.1779,pos
Juhaar,5,2025-09-24,CBE,Google Play,0.0,neu
I am using CBE app very fantastic.,5,2025-09-24,CBE,Google Play,0.5984,pos
bist app tankyou,4,2025-09-23,CBE,Google Play,0.0,neu
this is very useful and consistent app,5,2025-09-23,CBE,Google Play,0.4927,pos
"this application provides timely service in a good, fast and reliable manner.",5,2025-09-23,CBE,Google Play,0.4404,pos
So good,5,2025-09-23,CBE,Google Play,0.4927,pos
it will be more better if the app have the feature receipt verifying from QR CODE SCREENSHOT IMAGES FROM gallery ... currently IT WORKS ONLY FROM DIRECT CAMERA CAPTURING,4,2025-09-23,CBE,Google Play,0.4927,pos
"From the UX perspective it can be better, it's old and it's not obvious where you can find some things",3,2025-09-22,CBE,Google Play,0.4404,pos
It is amazing app but it is more better if it is possible to transfer from account to other telebirr,5,2025-09-22,CBE,Google Play,0.771,pos
"The app was great while it was active. However, after the app did an update, I lost connection with a message ""Network Error"". Please try to fix it as there are many clients of CBE using this app globally from abroad countries.",3,2025-09-21,CBE,Google Play,0.6249,pos
very important app,4,2025-09-21,CBE,Google Play,0.2716,pos
the best of all mobile banking in Ethiopia works perfectly fine,5,2025-09-21,CBE,Google Play,0.8807,pos
DANTRO BAND!!!,5,2025-09-21,CBE,Google Play,0.0,neu
some time when make transfer from Mobile account to other cbebirr wallet no show customer name so please check it......thanks my cbe.. cbebirr application very nice application wallet,5,2025-09-20,CBE,Google Play,0.5973,pos
this app is very useful but sometimes when you want to see specific transactions it didn't work so that way i gave 3,3,2025-09-20,CBE,Google Play,0.3708,pos
why i must visit the branch i opened my account to activate the mobile banking services? if it a connected network it maybe done from any branch.,1,2025-09-20,CBE,Google Play,0.0,neu
አሪፍ ነው አሁን ደግሞ እስክሪን ሹት ማረግ በመቻሌ ደግብሎኛል,5,2025-09-20,CBE,Google Play,0.0,neu
asfaw damse,5,2025-09-19,CBE,Google Play,0.0,neu
jabadhaa namatii tolataan,5,2025-09-19,CBE,Google Play,0.0,neu
"The App is very good in its interface and user friendly. But it could be a pro app had it had additional feature that let us run multiple accounts on a single phone with an option of ""additional"" account!",3,2025-09-19,CBE,Google Play,0.5406,pos
The app is user friendly. But i want some amendment or include option of sending money to other tele birr like other cbe birr.,4,2025-09-18,CBE,Google Play,0.7003,pos
Truly amazing!,5,2025-09-18,CBE,Google Play,0.7901,pos
Doesn't have option to generate statement for transactions,3,2025-09-18,CBE,Google Play,0.0,neu
😎,5,2025-09-18,CBE,Google Play,0.4588,pos
JanaleBl,5,2025-09-17,CBE,Google Play,0.0,neu
nice application,5,2025-09-17,CBE,Google Play,0.4215,pos
WaaaaaaaW,1,2025-09-17,CBE,Google Play,0.0,neu
very nice,5,2025-09-16,CBE,Google Play,0.4754,pos
Of,5,2025-09-16,CBE,Google Play,0.0,neu
it's best app to use recently and upgraded day to day for internationalization,4,2025-09-16,CBE,Google Play,0.6369,pos
Easy to use and not Complicated 👍,5,2025-09-15,CBE,Google Play,0.4404,pos
apdat the app,5,2025-09-14,CBE,Google Play,0.0,neu
good in bankin at any time & any where.,5,2025-09-13,CBE,Google Play,0.4404,pos
great,5,2025-09-13,CBE,Google Play,0.6249,pos
"WHAT A USELESS APP! Transfers, wallet payments, other banks — nothing works. Updated, restarted, cleared cache, reinstalled — still useless. Crashed and forced me to visit a branch just to log in 3 times. One of the biggest banks in the country can’t fix issues a junior developer could solve. Completely unreliable. Big bank , Zero functionality!",1,2025-09-13,CBE,Google Play,-0.8279,neg
it is best to me,1,2025-09-13,CBE,Google Play,0.6369,pos
hayizgi mebrahtom feshay,5,2025-09-13,CBE,Google Play,0.0,neu
Excellent app,5,2025-09-12,CBE,Google Play,0.5719,pos
after apdate the app doesn't work any thing else it said enable to connects,1,2025-09-12,CBE,Google Play,0.0,neu
love,5,2025-09-12,CBE,Google Play,0.6369,pos
Hasasa bank,1,2025-09-11,CBE,Google Play,0.0,neu
All ways Trusted.,5,2025-09-11,CBE,Google Play,0.4767,pos
best MB application in Ethiopia financial sector.,5,2025-09-11,CBE,Google Play,0.6369,pos
I like this app,5,2025-09-11,CBE,Google Play,0.3612,pos
am tired why I have to update every 5 day,1,2025-09-11,CBE,Google Play,-0.4404,neg
usb debugig mode bicha off endidereg axrigu like awash bank,1,2025-09-10,CBE,Google Play,0.3612,pos
good morning 🙏,5,2025-09-10,CBE,Google Play,0.4404,pos
am happy 😃,5,2025-09-09,CBE,Google Play,0.7351,pos
wowww,5,2025-09-08,CBE,Google Play,0.0,neu
KEHRU nasir AbFIXA,5,2025-09-08,CBE,Google Play,0.0,neu
It is well organized.,5,2025-09-08,CBE,Google Play,0.2732,pos
Can't see the nearest Branch or ATM available,2,2025-09-08,CBE,Google Play,0.0,neu
the app does not open,1,2025-09-07,CBE,Google Play,0.0,neu
from Monk,3,2025-09-06,CBE,Google Play,0.0,neu
"Amazing, Delightful and Seamless Mobile Banking Application, I have ever Experienced!! Indeed, I feel Great Proud to be part of your Stakeholder! My First Choice Bank, Commercial Bank of Ethiopia, The Pioneer and Leading in Digital Banking Services in Ethiopia! Five stars ⭐⭐⭐⭐⭐ are little to you! Thank you so much🙏",5,2025-09-06,CBE,Google Play,0.9596,pos
incredible,5,2025-09-06,CBE,Google Play,0.0,neu
የዚህ አፕ ተጠቃሚ ነበርኩ ያለሁት ከሀገር ውጭ ነው እና እየተጠቀምኩበት ሳለ አብደት አድርጊ አለኝ ሳረገው ፓስወርድ እንዴ አድስ ጠየቀኝ እንዴው እኔ አለሁበት ሀገር ሆኘ መስተካከል ከቻለ ተባበሩኝ በጣም አስፈላጊዬ ነው ::,5,2025-09-06,CBE,Google Play,0.0,neu
it's the best money transfer app ever,5,2025-09-06,CBE,Google Play,0.6369,pos
it is nice,5,2025-09-05,CBE,Google Play,0.4215,pos
user friendly. best.,5,2025-09-05,CBE,Google Play,0.8126,pos
🙏,5,2025-09-05,CBE,Google Play,0.0,neu
አሪፍ,5,2025-09-05,CBE,Google Play,0.0,neu
best app!!!,5,2025-09-05,CBE,Google Play,0.7249,pos
"It is good app and really user friendly , but it not possible to start service after the app is uninstalled or device phone is changed. So please make it easy for us, after once you set us the requirements in your office we should have to use it only by install and launch it. We do not have to visit the near by branch office every time for such silly businesses but important things. in addition to that why is that for hidding senders name or account number How can I know who tranfers to me???",4,2025-09-05,CBE,Google Play,0.9368,pos
very good app,5,2025-09-05,CBE,Google Play,0.4927,pos
jabirabdala,5,2025-09-04,CBE,Google Play,0.0,neu
unfair cost of transportations... what a shame!!!,1,2025-09-04,CBE,Google Play,-0.795,neg
"I think it is a good app to use easily. However, I have one more comment: the app does not automatically sync or update the balance in real time. Please review this issue. For example, when someone transfers money, the receiver's app does not sync automatically. It requires the user to manually initiate an update to see the current balance.",4,2025-09-04,CBE,Google Play,0.765,pos
WAW!!! I AM PROUD!!! MY STRONG BANK WORKS AT BEST EVEN IN A REMOTE LOCATION HERE IN MALABO (ECUATORIAL GUINEA). MEWOLID MUBARAK CBE!!!,5,2025-09-04,CBE,Google Play,0.9147,pos
zinaa Ahmed,5,2025-09-04,CBE,Google Play,0.0,neu
absolutely excellent,5,2025-09-04,CBE,Google Play,0.6115,pos
amazing app,5,2025-09-03,CBE,Google Play,0.5859,pos
perfect and easy,5,2025-09-03,CBE,Google Play,0.765,pos
fastest,5,2025-09-03,CBE,Google Play,0.0,neu
My account is not working,4,2025-09-03,CBE,Google Play,0.0,neu
The recent update is not optimized fir latest version of android,2,2025-09-02,CBE,Google Play,-0.357,neg
topp,5,2025-09-02,CBE,Google Play,0.0,neu
I appreciate it,5,2025-09-01,CBE,Google Play,0.4019,pos
v.good app,5,2025-09-01,CBE,Google Play,0.0,neu
sahib amin jamal,1,2025-08-31,CBE,Google Play,0.0,neu
installi,5,2025-08-31,CBE,Google Play,0.0,neu
very good apps,5,2025-08-30,CBE,Google Play,0.4927,pos
👍👍👍👍,1,2025-08-30,CBE,Google Play,0.0,neu
the app say it is not compatible with ur phone can u fix it it is not updating.,1,2025-08-30,CBE,Google Play,0.0,neu
"I would like to give you some feedback on Current update, its very nice and easy to use👍 but in some button there is still not improved For example while iwant to check my recent Txn it not well sequenced and arranged or some txn may not appear ... becouse of this i see many of users of this app discomferted maily merchants and those make High txn daily. improve and miximize the txn shown to 300 up to 500. make Searchable Recent txn button! All in all the bank i Relly on! CBE my bank !",5,2025-08-29,CBE,Google Play,0.619,pos
tinishu titiba,5,2025-08-29,CBE,Google Play,0.0,neu
"essy to use ,has great interface and user-friendly g",5,2025-08-29,CBE,Google Play,0.6249,pos
Yuuuuu,5,2025-08-29,CBE,Google Play,0.0,neu
I found it very much friendly,5,2025-08-29,CBE,Google Play,0.539,pos
"Very useful app, while we use CBE.",5,2025-08-28,CBE,Google Play,0.4927,pos
woooow,5,2025-08-28,CBE,Google Play,0.0,neu
Redmi,1,2025-08-28,CBE,Google Play,0.0,neu
አርፍ ነው ነገር ግን ሴብ ያረገውን አካውንት እያጠፋብን ነው,5,2025-08-28,CBE,Google Play,0.0,neu
kamil aweil,5,2025-08-28,CBE,Google Play,0.0,neu
In your next update can you come with night mode future,5,2025-08-27,CBE,Google Play,0.0,neu
"Truly, super competitive when compared to a well known app nowadays functioning broadly by simplest features and means namely known as Telebirr super app, Thus, CBE is my top ultimate choice that I prefer over the other bank due to its beautiful power of lead as a result I could recommend CBE to others because of its service provision via ethical principles and practice for customers satisfaction with existence of constraints and challenges face from burglary and froudalent hacker. Thank you !",5,2025-08-27,CBE,Google Play,0.9834,pos
mayreba app you its better if you use other banks,1,2025-08-27,CBE,Google Play,0.4404,pos
Not Prefect Transfer To Other Bank The Mony Not Deliverd Imidetliy Take Three Or Five Days,1,2025-08-27,CBE,Google Play,0.0,neu
let us know before you shut down the app,4,2025-08-27,CBE,Google Play,0.0,neu
excited,5,2025-08-27,CBE,Google Play,0.34,pos
amizing,5,2025-08-26,CBE,Google Play,0.0,neu
